code,name
HLQ,Heavylift Cargo Airlines Lt
HP,"America West Airlines, Inc."
HQ,Business Express
HQQ,Harlequin Air Corporation
HY,Uzbekistan Airways
IB,Iberia Air Lines Of Spain
ITQ,Interamericana De Aviacion
IW,"Aom Minerve, S.A."
J7,"Valujet Airlines, Inc."
JAQ,Jamaica Air Freighters
JD,"Japan Air System Co., Ltd"
JH,Amerijet International
JI,"Midway Airlines, Inc."
JJ,Transportes Aeros Meridiona
JK,"Spanair, S.A."
JKQ,"Express One Int'L, Inc."
JL,"Japan Air Lines Co., Ltd."
JM,Air Jamaica Limited
JO,"Jalways Co., Ltd."
JR,Aero California
JW,"Arrow Air, Inc."
JX,"Jes Air, Ltd."
JX,Southeast Airlines
JX,"Sun Jet International, Inc."
JZ,"Japan Air Charter Co., Ltd."
KAQ,Kalitta Air Llc
KE,"Korean Air Lines Co., Ltd."
KI,"Time Air, Ltd."
KL,Klm Royal Dutch Airlines
KM,Air Malta
KP,Kiwi International
KR,Kitty Hawk Aircargo
KTQ,"Turks Air, Ltd."
KU,"Kuwait Airways, Corp."
KW,"Carnival Air Lines, Inc."
KW,Pacific Interstate Airlines
KX,Cayman Airways Limited
KZ,Nippon Cargo Airlines
L2,Lynden Air Cargo Airlines
LA,Lan-Chile Airlines
LB,Lloyd Aereo Boliviano S. A.
LBQ,"Millon Air, Inc."
LC,Legend Airlines
LC,Lineas Aereas Del Caribe
LG,Luxair
LGQ,Lineas Aereas Allegro
LH,Lufthansa German Airlines
LM,Alm Antillean Airlines
LO,Polskie Linie Lotnicze
LOQ,"Lorair, Ltd."
LP,Lan Peru Airlines
LR,Lacsa
LSQ,Lineas Aereas Suramerican
LT,Luftransport-Unternehmen
LU,Air Atlantic Dominicana
LXQ,Translux Intl Airlines
LY,El Al Israel Airlines Ltd.
LZ,Balkan Bulgarian Airlines
LZQ,Leisure Int'L Airways Ltd.
M3,Absa-Aerolinhas Brasileiras
M6,Amerijet International
MA,Malev Hungarian Airlines
MG,Champion Air
MG,"Mgm Grand Air, Inc."
MH,Malaysian Airline System
MJ,Lapa-Lineas Aereas Privadas
ML,Aero Costa Rica
ML,"Midway Airlines, Inc."
MMQ,Miami Air International
MP,Martinair Holland N.V.
MQ,"American Eagle Airlines,Inc"
MQ,Simmons Airlines
MS,Egyptair
MSQ,Martinair Holland N.V.
MT,Flying Colours Airlines Ltd
MU,China Eastern Airlines
MUQ,Aerolineas Mundo
MX,Compania Mexicana De Aviaci
MY,Aerotransportes Mas De Crga
MYQ,Lineas Aereas Mayas (Lamsa)
N5,"Nations Air Express, Inc."
N6,Aero Continente
NA,Executive Airlines
NB,Sterling Cargo
NEQ,North East Cargo Airlines
NG,Lauda Air Luftfahrt Ag
NH,All Nippon Airways Co.
NOQ,Novair Airlines Ab
NW,"Northwest Airlines, Inc."
NWQ,N. W. Territorial Airways
NZ,Air New Zealand
OA,Olympic Airways
OB,"Oasis Int'L Airlines, S.A."
OH,"Comair, Inc."
OI,Paradise Airways
OI,Prestige Airways
OK,Czech Airlines
OK,Czechoslovak Airlines
ON,Air Nauru
OO,Unknown
OS,Austrian Airlines
OW,Executive Airlines
OZ,"Asiana Airlines, Inc."
PA,Pan American World Airways
PCQ,Pace Airlines
PE,Air Europe S.P.A.
PFQ,Asia Pacific
PH,Polynesian Airlines Ltd.
PIQ,Pacific Int'L Airlines
PK,Pakistan Int'L Airlines
PL,Aero Peru
PLQ,Planet Airways
PN,Pan American Airways Corp.
PNQ,Panagra Airways
PO,Polar Air Cargo Airways
PR,"Philippine Airlines, Inc."
PRQ,"Florida West Airlines, Inc."
PRQ,Florida West Intl Airways
PUQ,Aeropuma
PY,Surinam Airways Limited
Q7,Sobelair
QF,Qantas Airways Ltd
QK,Aeromaritime
QK,"Air Nova, Inc."
QN,Royal Air
QO,Aeromexpress
QQ,"Reno Air, Inc."
QT,"Panamericanos,S.A. Tampa"
QTQ,Aer Turas Teoranta
QX,Horizon Air
REQ,Renown Aviation
RG,"Varig, S. A."
RIQ,Rich International Airways
RJ,Alia-(The) Royal Jordanian
RK,Air Afrique
RLQ,Reliant Airlines
RNQ,Airtours Int'L Airways
RO,Tarom Romanian Air Transpor
RU,Continental Express Airline
RYQ,Ryan International Airlines
SA,South African Airways
SAQ,"Southern Air Transport, Inc"
SBQ,"Skyjet, S.A."
SEQ,Sky Service F.B.O.
SFQ,"Pacific Int'L Airlines, Inc"
SFQ,"Sportsflight Airways, Inc."
SIQ,Premiair
SIQ,Scanair
SK,Scandinavian Airlines Sys.
SM,Sunworld Int'L Airlines
SN,Sabena Belgian World Air.
SO,Swiss World Airways
SPQ,Sun Pacific International
SQ,Singapore Airlines Ltd.
SR,"Swissair Transport Co., Ltd"
SU,Aeroflot Russian Airlines
SV,Saudi Arabian Airlines Corp
SX,"Aeroejecutivo, S.A."
SY,Sun Country Airlines
SYQ,Sun Country Airlines
T9,Transmeridian Airlines
TA,Taca Int'L Airlines
TCQ,"Express.Net Airlines, Llc."
TCQ,Trans Continental Airlines
TG,Thai Airways Int'L Ltd.
TK,"Turk Hava Yollari, A.O."
TKQ,Trans-Air-Link Corporation
TN,Air Tahiti Nui
TNQ,Emery Worldwide Airlines
TP,Tap-Portuguese Airlines
TR,"Transbrasil, S.A."
TRQ,Blue Scandinavia Ab
TRQ,Transwede Airways Ab
TS,Air Transat
TTQ,"Canada 3000 Airlines, Ltd."
TW,"Trans World Airlines, Inc."
TX,Soc.Nouvelle Air Guadeloupe
TX,Transportes Aereos Nacional
TZ,"American Trans Air, Inc."
TZQ,Air 2000 Limited
U7,"Usa Jet Airlines, Inc."
UA,"United Air Lines, Inc."
UC,Ladeco
UD,Fast Air Carrier Ltd
UN,Transaero Airlines
UP,Bahamasair Holding Limited
US,"Us Airways, Inc."
US,Usair
UX,Air Europa
UXQ,Air Europa
UYQ,Aerolineas Uruguayas S.A.
VA,Venezuelan Int'L Airways
VC,Servicios Avensa
VE,Aerovias Venezolanas-Avensa
VH,Aeropostal Alas De Venezuel
VI,Volga-Dnepr Airlines
VIQ,"Viscount Air Service, Inc."
VP,Viacao Aerea Sao Paulo
VR,Transportes Aereos De Cabo
VS,Virgin Atlantic Airways
VX,Aces Airlines
WD,Halisa Air
WE,"Challenge Air Cargo, Inc."
WI,Tradewinds Airlines
WO,"World Airways, Inc."
WOQ,Winnport Logistics
X9,Omni Air Express
XC,Air Caribbean
XG,North American
XG,North American Airlines
XJ,Mesaba Airlines
XP,Casino Express
YTU,Alaska Central Express
YV,"Mesa Airlines, Inc."
YX,Midwest Express Airlines
ZB,Monarch Airlines
ZUQ,Zuliana De Aviacion
ZX,"Airbc, Ltd."
